Brand,title,list_price,sale_price,rating,times_evaluated,ships_from,feature_headers,feature_values
HUAWEI,HUAWEI P30 Lite New Edition Marie-L21BX Dual-SIM 256GB (GSM Only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Breathing Crystal) - International Version,--,349.99,4.5,624,Amazon,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","HUAWEI
P30 Lite
Unlocked
Android 9.0
4G, 3G, 2G
8 GB
Wi-Fi
Breathing Crystal
6.15 Inches
GSM, CDMA, LTE"
HUAWEI,"HUAWEI Honor 8X (64GB + 4GB RAM) 6.5"" HD 4G LTE GSM Factory Unlocked Smartphone - International Version No Warranty JSN-L23 (Blue)",259,259,4.5,1368,Amazon,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","HUAWEI
Honor 8X
Unlocked
Android
2G
64 GB
Bluetooth
Black
6.5 Inches
GSM, LTE"
HUAWEI,"Huawei Honor 8X (64GB + 4GB RAM) 6.5"" HD 4G LTE GSM Factory Unlocked Smartphone - International Version No Warranty JSN-L23 (Black)",--,249,4.5,1437,"Amazon
New Sky INC","Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","HUAWEI
Honor 8X
Unlocked
Android
4G, 3G, 2G
4 GB
Bluetooth
Black
6.5 Inches
GSM, LTE"
HUAWEI,"Huawei P30 Pro Dual/Hybrid-SIM 128GB VOG-L29 (GSM Only, No CDMA) Factory Unlocked 4G/LTE Smartphone - International Version (Midnight Black)",--,498,4.5,2299,Sell Phone Basement LLC,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","HUAWEI
P30 Pro
T-Mobile, Unlocked
Android 9.0
4G, 3G, 2G
128 GB
Wi-Fi
Midnight Black
6.47 Inches
GSM, CDMA, LTE"
HUAWEI,"Huawei P30 Lite (128GB, 4GB RAM) 6.2"" Display, AI Triple Camera, Dual-SIM Global GSM Factory Unlocked Phone - Peacock Blue",299.99,243.99,4.5,2919,Amazon,"Brand
Model Name
Wireless Carrier
Operating System
Cellular Technology
Memory Storage Capacity
Connectivity Technology
Color
Screen Size
Wireless network technology","HUAWEI
P30 lite
Unlocked for All Carriers
Android
2G
128 GB
Wi-Fi
Peacock Blue
6.3 Inches
GSM"
HUAWEI,"Huawei P30 128GB+6GB RAM (ELE-L29) 6.1"" LTE Factory Unlocked GSM Smartphone (International Version) - Breathing Crystal",--,499.99,4.6,541,Amazon,"Brand
Model Name
Wireless Carrier
Operating System
Cellular Technology
Memory Storage Capacity
Connectivity Technology
Color
Screen Size
Wireless network technology","HUAWEI
P30
Unlocked
android
4G, 2G
128 GB
Wi-Fi
Crystal
6.3 Inches
GSM, LTE"
HUAWEI,HUAWEI P30 Lite New Edition Marie-L21BX Dual-SIM 256GB (GSM Only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Peacock Blue) - International Version,379,349.99,4.6,2423,Amazon,"Brand
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology
SIM card slot count","HUAWEI
Unlocked
Android 9.0
4G, 3G, 2G
256 GB
Wi-Fi
Peacock Blue
6.15 Inches
GSM, CDMA, LTE
Dual SIM"
HUAWEI,Huawei P30 Pro Dual/Hybrid-SIM 128GB 4G/LTE Smartphone (Breathing Crystal),--,499.99,4.7,1207,Sell Phone Basement LLC,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","HUAWEI
P30 Pro
T-Mobile
Android 9.0
4G, 3G, 2G
128 GB
Wi-Fi
Breathing Crystal
6.47 Inches
GSM, LTE"
XIAOMI,Poco F3 5G + 4G Volte Unlocked Global GSM 128GB+6GB 6.67 inch 48MP Triple Camera (Not Verizon/Boost) (w/Fast Car Charger Bundle) (Artic White),--,429,4.6,748,"Amazon
Hotspot Solutions","Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","Xiaomi
F3 5G
Unlocked for All Carriers
Android
5G
6 GB
Wireless
Artic White
6.67 Inches
GSM, Wi-Fi, LTE"
XIAOMI,"Xiaomi Poco M3 PRO 5G + 4G Volte Global Unlocked GSM 6.5"" Octa Core 48mp Triple Camera (Not Verizon/Boost/CDMA) (Power Black, 128GB+6GB)",--,219.99,4.6,1271,"Amazon
Aimportar USA","Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","Xiaomi
M3 PRO
Unlocked for All Carriers
Android
5G
128 GB
Wireless
Power Black, 128GB+6GB
6.5 Inches
GSM, Wi-Fi, CDMA, LTE"
XIAOMI,"Xiaomi Redmi 10 4G (64GB + 4GB) LTE GSM Factory Unlocked 6.5"" 50MP Quad Camera (Not Verizon Sprint Boost Tmobile At&T Cricket) + Fast Car Charger Bundle (Sea Blue)",--,170.72,4.6,3584,"Amazon
Aimportar USA","Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","Xiaomi
redmi 10
Unlocked for All Carriers
MIUI 12.5 based on Android 11
LTE
4 GB
Wireless
Sea Blue
6.5 Inches
GSM, LTE"
XIAOMI,"Xiaomi Redmi 9A - Smartphone 2 GB + 32 GB, Dual Sim, Grigio (Granite Grey)",89.97,84.7,4.6,3897,Amazon,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","Xiaomi
Redmi 9A
Blue
MIUI 12, Android 10.0
GSM, HSPA, WCDMA, LTE, 4G, 3G, 2G
32 GB
Bluetooth, Wi-Fi, USB
Granite Grey
6.53 Inches
GSM, Wi-Fi, LTE"
XIAOMI,"Xiaomi Poco M4 PRO 4G Volte Global Unlocked 128GB + 6GB GSM 6.6"" 64 mp Camera (Not Verizon/Boost/Cricket/AT&T/Metro/Tmobile CDMA) + Car Fast Car Charger Bundle (Power Black)",--,249,4.7,638,NGP STORE USA,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","Xiaomi
M4 pro
Unlocked for All Carriers
MIUI 13 for POCO, based on Android 11
LTE
128 GB
Bluetooth, Wi-Fi, NFC
Power Black
6.4 Inches
GSM, Wi-Fi, CDMA, LTE"
XIAOMI,"Xiaomi Redmi Note 11S 4G Volte 128GB + 6GB Factory Unlocked 6.43"" Quad Camera 108MP Night Mode (NOT Verizon Sprint Boost Cricket At&t) (w/Fast Car Charger Bundle) (Graphite Gray)",210,210,4.7,734,Amazon,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","Xiaomi
NOTE 11s
Unlocked for All Carriers
Android
4G
128 GB
Wireless
Graphite Gray
6.43 Inches
GSM, Wi-Fi, LTE"
XIAOMI,"Poco M4 PRO 5G + 4G Volte Global Unlocked GSM 6.6"" Octa Core 50mp Camera (Not Verizon/Boost/Cricket CDMA) + Car Fast Car Charger Bundle (128GB + 6GB, Power Black)",--,259,4.7,1383,NGP STORE USA,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Wireless network technology
Connector Type","POCO, LLC
M4 PRO
Unlocked for All Carriers
Android
5G
6 GB
Wireless
Power Black
GSM, Wi-Fi, CDMA, LTE
3.5mm Jack"
XIAOMI,"Xiaomi Redmi Note 11 4G Global Version 128GB + 6GB Factory Unlocked 6.43"" Quad Camera 50MP Night Mode (NOT Verizon Sprint Boost Cricket At&t) (w/Fast Car Charger Bundle) (Graphite Gray)",--,199.99,4.7,11557,INTEGRON TECHNOLOGIES INC,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","Xiaomi
NOTE 11
Unlocked for All Carriers
Android
4G
6 GB
Wireless
Graphite Gray
6.43 Inches
GSM"
XIAOMI,"Xiaomi 12 Lite 5G + 4G LTE (256GB + 8GB) Global Version Unlocked 6.55"" 108MP Triple Camera (Not for Verizon Boost At&T Cricket Straight) + (w/Fast Car 51W Charger Bundle) (Lite Black)",--,394.5,4.8,89,Amazon,"Number of Batteries
Brand
Battery Cell Composition
Recommended Uses For Product
Unit Count","1 Lithium Ion batteries required.
Xiaomi
Lithium Ion
Camera
1 Count"
XIAOMI,Xiaomi Poco X4 GT 5G + 4G LTE 256GB 8GB Global Version Unlocked 6.6'' 1444Hz 64MP Triple Camera (Not Verizon Sprint Boost Cricket Metro At&T) (w/Fast Car 51W Charger Bundle) (Black (Global Version)),370,347.26,4.8,518,"Amazon
lifeline786","Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","Xiaomi
x4 gt
Unlocked for All Carriers
MIUI 13 for POCO, based on Android 12
5G + 4G LTE
8 GB
Wi-Fi
Black (Global Version)
6.6 Inches
CDMA, LTE"
XIAOMI,"Poco M5s 4G LTE GSM (128GB + 6GB) 64MP Quad Camera 6.43"" Octa Core (NOT for USA Market) Global Unlocked + (w/Fast 51w Car Charger) (Blue (Global Version))",--,186,4.8,597,Amazon,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","Xiaomi
M5S
Unlocked for All Carriers
MIUI 13 for POCO, based on Android 12
4G
6 GB
Wi-Fi
Blue (Global Version)
6.43 Inches
GSM, LTE"
OPPO,OPPO Reno 6 PRO 5G CPH2247 Dual SIM 12GB Ram 256GB Storage Snapdragon 870 EU/UK Global Model Factory Unlocked - Artic Blue,--,599,4.2,45,NGP STORE USA,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
SIM card slot count","OPPO
Oppo Reno 6 Pro 5G
Unlocked for All Carriers
Android 11.0
5G,4G, LTE
12 GB
Wi-Fi
Artic Blue
6.5 Inches
Dual SIM"
OPPO,Reno 6 Pro 5G Dual 256GB 12GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) International Version -Aurora,--,615,4.2,238,NGP STORE USA,"Brand
Model Name
Wireless Carrier
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Screen Size
Wireless network technology
Formfactor
Year","OPPO
6 pro
Unlocked for All Carriers
5G
256 GB
Wi-Fi
6.55 Inches
GSM, CDMA
Slate
2021"
OPPO,Oppo Find X3 Lite CPH2145 128GB 8GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Global - Black,--,445,4.3,255,NGP STORE USA,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","OPPO
Oppo Find X3 Lite
Unlocked for All Carriers
Android 11.0
5G, 4G, 3G, 2G
128 GB
Wi-Fi
Black
6.43 Inches
GSM, CDMA, LTE"
OPPO,Oppo Find X5 Pro 5G Dual 256GB 12GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) China Version | No Google Play Installed - Glaze Black,--,889,4.4,55,NGP STORE USA,"Brand
Model Name
Wireless Carrier
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology
SIM card slot count","OPPO
PFEM10 CHINA ROM
Unlocked for All Carriers
2G
12 GB
Wi-Fi
GLAZE BLACK
6.7 Inches
GSM, CDMA
Dual SIM"
OPPO,OPPO A95 4G Dual 128GB 8GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) International Version | Bundle w/Fast Car Charger - Glowing Rainbow Silver,--,391.99,4.5,30,NGP STORE USA,"Brand
Model Name
Wireless Carrier
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology
Formfactor","OPPO
A95
Unlocked
4G
128 GB
Wi-Fi
Silver
6.43 Inches
GSM, CDMA
Slate"
OPPO,OPPO Reno4 Pro 5G Dual-SIM 256GB (GSM Only | No CDMA) Factory Unlocked Android Smartphone (Galactic Blue) - International Version,--,799.99,4.4,91,Fuzion Electronics CA,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","OPPO
OPPO Reno4 Pro 5G
Unlocked for All Carriers
Android 10.0
4G, 3G, 2G
12 GB
Wi-Fi
Galactic Blue
6.5 Inches
GSM, CDMA, LTE"
OPPO,Oppo A54s Dual-SIM 128GB ROM + 4GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Crystal Black) - International Version,--,199.99,4.4,258,FGS Trading,"Brand
Model Name
Wireless Carrier
OS
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology
SIM card slot count","OPPO
Oppo A54s
Unlocked for All Carriers
Android
128 GB
Wi-Fi
Crystal Black
6.5 Inches
GSM, CDMA, LTE
Dual SIM"
OPPO,Reno 5A 5G Single 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) International Version -Black,--,296.52,4.4,269,NGP STORE USA,"Brand
Model Name
Wireless Carrier
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology
Connector Type","OPPO
1234
T-Mobile
5G
6 GB
Wi-Fi
Black
6.5 Inches
GSM, CDMA
Micro USB"
OPPO,Oppo A74 Dual-SIM 128GB ROM + 6GB RAM (GSM Only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Prism Black) - International Version,--,325,4.4,396,NGP STORE USA,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","OPPO
Oppo A74
Unlocked for All Carriers
Android 11.0
4G, 3G, 2G
6 GB
Wi-Fi
Prism Black
6.4 Inches
GSM, CDMA, LTE"
OPPO,OPPO Reno 8 Dual-Sim 256GB ROM + 8GB RAM (GSM only | No CDMA) Factory Unlocked 5G Smartphone (Shimmer Gold) - International Version,--,499,4.9,12,NGP STORE USA,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","OPPO
Oppo Reno 8
Unlocked for All Carriers
Android 12.0
5G
256 GB
Wi-Fi
Shimmer Gold
6.43 Inches
Wi-Fi, LTE"